Gap	Count	Annotation
21.175	31340	NA
21.2	24819	NA
21.225	18024	NA
21.25	33755	AA-NLoss: C,CS 4
21.275	33519	NA
21.3	26710	NA
21.325	79083	NA
21.35	87152	NA
21.375	35404	NA
21.4	24975	NA
21.425	31092	NA
21.45	42637	NA
21.475	75743	NA
21.5	191400	AA C,CS 4
21.525	180428	NA
21.55	64117	NA
21.575	38943	NA
21.6	31370	NA
21.625	24384	NA
21.65	43063	NA
21.675	107446	NA
21.7	44883	NA
21.725	25590	NA
21.75	35508	AA S,CS 4
21.775	28853	NA
21.8	17930	NA
21.825	23234	NA
21.85	29859	NA
21.875	24202	NA
21.9	33913	NA
21.925	62943	NA
21.95	112066	NA
21.975	202883	NA
22	370080	NA
22.025	366178	NA
22.05	153719	NA
22.075	92928	NA
22.1	52344	NA
22.125	25839	NA
22.15	24062	NA
22.175	30002	NA
22.2	23855	NA
22.225	17887	NA
22.25	33056	NA
22.275	31554	NA
22.3	26636	NA
22.325	61481	NA
22.35	84298	NA
22.375	34366	NA
22.4	26673	NA
22.425	31239	NA
22.45	40862	NA
22.475	76407	NA
22.5	198395	NA
22.525	166086	NA
22.55	67045	NA
22.575	41660	NA
22.6	33213	NA
22.625	25866	NA
22.65	38545	NA
22.675	98287	NA
22.7	44889	NA
22.725	24935	NA
22.75	32829	NA
22.775	26552	NA
22.8	20959	NA
22.825	23104	NA
22.85	30633	NA
22.875	33137	NA
22.9	31790	NA
22.925	55301	NA
22.95	86810	NA
22.975	174588	NA
23	364829	AA-NLoss: S,CS 3
23.025	349143	NA
23.05	145808	NA
23.075	89379	NA
23.1	55239	NA
23.125	26700	NA
23.15	23444	NA
23.175	30766	NA
23.2	27055	NA
23.225	17806	NA
23.25	29630	NA
23.275	29524	NA
23.3	27698	NA
23.325	50051	NA
23.35	104349	NA
23.375	32435	NA
23.4	25798	NA
23.425	30754	NA
23.45	41555	NA
23.475	76329	NA
23.5	172728	NA
23.525	144776	NA
23.55	68612	NA
23.575	40815	NA
23.6	31936	NA
23.625	25651	NA
23.65	36290	NA
23.675	102126	NA
23.7	45615	NA
23.725	23258	NA
23.75	31625	AA-NLoss: L,CS 4
23.775	29300	NA
23.8	19433	NA
23.825	23482	NA
23.85	33615	NA
23.875	27190	NA
23.9	28935	NA
23.925	52066	NA
23.95	91473	NA
23.975	195230	NA
24	375977	AA L,CS 4
24.025	321154	NA
24.05	176075	NA
24.075	93983	NA
24.1	53003	NA
24.125	26473	NA
24.15	22913	NA
24.175	27862	NA
24.2	24165	NA
24.225	16557	NA
24.25	29887	AA N,CS 4
24.275	34224	NA
24.3	29010	NA
24.325	51865	NA
24.35	91479	NA
24.375	32010	NA
24.4	23707	NA
24.425	28677	NA
24.45	41386	NA
24.475	76464	NA
24.5	143575	AA D,CS 4
24.525	129400	NA
24.55	74749	NA
24.575	41889	NA
24.6	30079	NA
24.625	24775	NA
24.65	38081	NA
24.675	90504	NA
24.7	43822	NA
24.725	23280	NA
24.75	32444	AA V,CS 4
24.775	32979	NA
24.8	17751	NA
24.825	23911	NA
24.85	28110	NA
24.875	24577	NA
24.9	28395	NA
24.925	49599	NA
24.95	102080	NA
24.975	162360	NA
25	304466	NA
25.025	311763	NA
25.05	155735	NA
25.075	91012	NA
25.1	52355	NA
25.125	27966	NA
25.15	23870	NA
25.175	30010	NA
25.2	26512	NA
25.225	17444	NA
25.25	30861	AA T,CS 4
25.275	36441	NA
25.3	25784	NA
25.325	49086	NA
25.35	79807	NA
25.375	32010	NA
25.4	22995	NA
25.425	28647	NA
25.45	43142	NA
25.475	68564	NA
25.5	136500	NA
25.525	130011	NA
25.55	70965	NA
25.575	43551	NA
25.6	29618	NA
25.625	26320	NA
25.65	34105	NA
25.675	84288	NA
25.7	43384	NA
25.725	22678	NA
25.75	30761	AA C,CS 4
25.775	30098	NA
25.8	18715	NA
25.825	27756	NA
25.85	37100	NA
25.875	24994	NA
25.9	29573	NA
25.925	55140	NA
25.95	97154	NA
25.975	196921	NA
26	307205	NA
26.025	400928	NA
26.05	210914	NA
26.075	98723	NA
26.1	58635	NA
26.125	28024	NA
26.15	22497	NA
26.175	31666	NA
26.2	26332	NA
26.225	18003	NA
26.25	29555	NA
26.275	31445	NA
26.3	26152	NA
26.325	47994	NA
26.35	85917	NA
26.375	32275	NA
26.4	24094	NA
26.425	28891	NA
26.45	46943	NA
26.475	65079	NA
26.5	135430	AA-NLoss: A,CS 2
26.525	150460	NA
26.55	68691	NA
26.575	40748	NA
26.6	31639	NA
26.625	25498	NA
26.65	32969	NA
26.675	93016	NA
26.7	50310	NA
26.725	23122	NA
26.75	30591	oxonium-NLoss: HexNAc - C2H6O3,CS 4
26.775	27572	NA
26.8	18046	NA
26.825	24475	NA
26.85	32790	NA
26.875	24048	NA
26.9	28693	NA
26.925	49171	NA
26.95	97596	NA
26.975	186031	NA
27	397593	oxonium-NLoss: HexNAc - C2H6O3,CS 4
27.025	335265	NA
27.05	162359	NA
27.075	104734	NA
27.1	49031	NA
27.125	27078	NA
27.15	22858	NA
27.175	30751	NA
27.2	26801	NA
27.225	18190	NA
27.25	28344	NA
27.275	31984	NA
27.3	24812	NA
27.325	49983	NA
27.35	112891	NA
27.375	35147	NA
27.4	22985	NA
27.425	29120	NA
27.45	47508	NA
27.475	65131	NA
27.5	146854	AA-NLoss: Q,CS 4
27.525	167805	NA
27.55	69192	NA
27.575	40933	NA
27.6	31959	NA
27.625	24937	NA
27.65	33024	NA
27.675	99235	NA
27.7	61425	NA
27.725	24219	NA
27.75	31067	AA Q,CS 4
27.775	32281	NA
27.8	17031	NA
27.825	22593	NA
27.85	31492	NA
27.875	27442	NA
27.9	27379	NA
27.925	54865	NA
27.95	106746	NA
27.975	150989	NA
28	643794	AA E,CS 4
28.025	435597	NA
28.05	153289	NA
28.075	130484	NA
28.1	55072	NA
28.125	27680	NA
28.15	24397	NA
28.175	29074	NA
28.2	26800	NA
28.225	18204	NA
28.25	31157	AA-NLoss: M,CS 4
28.275	41005	NA
28.3	26262	NA
28.325	50499	NA
28.35	99327	NA
28.375	41710	NA
28.4	23438	NA
28.425	29222	NA
28.45	41665	NA
28.475	65444	NA
28.5	171378	AA M,CS 4
28.525	190027	NA
28.55	67823	NA
28.575	41176	NA
28.6	32795	NA
28.625	24783	NA
28.65	34019	NA
28.675	95834	NA
28.7	53826	NA
28.725	25375	NA
28.75	33496	glycan-NLoss: Pentose,CS 4
28.775	34316	NA
28.8	17998	NA
28.825	23008	NA
28.85	30387	NA
28.875	26254	NA
28.9	26723	NA
28.925	48938	NA
28.95	119465	NA
28.975	162329	NA
29	433257	AA S,CS 3
29.025	388260	NA
29.05	161246	NA
29.075	101516	NA
29.1	53971	NA
29.125	28192	NA
29.15	23722	NA
29.175	29205	NA
29.2	24724	NA
29.225	18097	NA
29.25	30696	NA
29.275	33945	NA
29.3	24649	NA
29.325	44655	NA
29.35	98538	NA
29.375	39638	NA
29.4	23346	NA
29.425	28543	NA
29.45	38221	NA
29.475	63755	NA
29.5	145770	NA
29.525	171110	NA
29.55	69183	NA
29.575	41888	NA
29.6	30622	NA
29.625	24494	NA
29.65	31814	NA
29.675	90763	NA
29.7	47421	NA
29.725	25252	NA
29.75	31647	oxonium-NLoss: HexNAc - CH6O3,CS 4
29.775	29971	NA
29.8	17699	NA
29.825	22184	NA
29.85	31361	NA
29.875	23761	NA
29.9	26507	NA
29.925	48744	NA
29.95	94051	NA
29.975	197666	NA
30	415513	oxonium-NLoss: HexNAc - CH6O3,CS 4
30.025	306376	NA
30.05	219734	NA
30.075	106859	NA
30.1	48995	NA
30.125	29540	NA
30.15	22655	NA
30.175	29194	NA
30.2	24378	NA
30.225	16919	NA
30.25	26368	NA
30.275	32036	NA
30.3	23871	NA
30.325	45096	NA
30.35	82499	NA
30.375	34915	NA
30.4	24120	NA
30.425	28055	NA
30.45	37059	NA
30.475	70266	NA
30.5	139239	NA
30.525	155488	NA
30.55	69470	NA
30.575	41820	NA
30.6	29894	NA
30.625	25611	NA
30.65	32240	NA
30.675	79844	NA
30.7	47062	NA
30.725	25167	NA
30.75	27770	NA
30.775	28630	NA
30.8	17081	NA
30.825	22037	NA
30.85	29529	NA
30.875	24242	NA
30.9	27112	NA
30.925	54562	NA
30.95	87676	NA
30.975	176912	NA
31	336165	NA
31.025	289597	NA
31.05	189444	NA
31.075	104009	NA
31.1	48663	NA
31.125	39678	NA
31.15	22815	NA
31.175	28541	NA
31.2	24315	NA
31.225	17430	NA
31.25	24959	oxonium-NLoss: HexNAc - C2H4O2,CS 4
31.275	31543	NA
31.3	24544	NA
31.325	40420	NA
31.35	82245	NA
31.375	35019	NA
31.4	25577	NA
31.425	28355	NA
31.45	36917	NA
31.475	65159	NA
31.5	181183	oxonium-NLoss: HexNAc - C2H4O2,CS 4
31.525	151673	NA
31.55	69271	NA
31.575	45579	NA
31.6	30966	NA
31.625	25424	NA
31.65	31255	NA
31.675	80338	NA
31.7	54665	NA
31.725	23925	NA
31.75	27825	NA
31.775	31737	NA
31.8	18224	NA
31.825	21892	NA
31.85	28410	NA
31.875	24431	NA
31.9	28030	NA
31.925	53428	NA
31.95	80766	NA
31.975	155645	NA
32	411194	glycan-NLoss: Fucose,CS 4
32.025	337847	NA
32.05	182392	NA
32.075	103878	NA
32.1	53768	NA
32.125	29118	NA
32.15	22366	NA
32.175	26622	NA
32.2	27263	NA
32.225	17822	NA
32.25	25847	glycan-NLoss: Fucose,CS 4
32.275	33975	NA
32.3	24683	NA
32.325	41119	NA
32.35	100693	NA
32.375	36769	NA
32.4	25042	NA
32.425	28916	NA
32.45	36209	NA
32.475	58887	NA
32.5	191430	AA F,CS 4
32.525	153443	NA
32.55	70433	NA
32.575	45704	NA
32.6	31034	NA
32.625	26412	NA
32.65	31218	NA
32.675	92362	NA
32.7	64676	NA
32.725	23651	NA
32.75	29290	AA M,CS 4
32.775	32368	NA
32.8	18368	NA
32.825	22314	NA
32.85	30416	NA
32.875	24783	NA
32.9	28539	NA
32.925	45161	NA
32.95	88000	NA
32.975	165825	NA
33	311725	glycan: Pentose,CS 4
33.025	373257	NA
33.05	181217	NA
33.075	85825	NA
33.1	55511	NA
33.125	29888	NA
